TF,TargetGene,Tissue,chea,signor,trrust,Experiment
CTCF,ACACA,lung,,,,"CTCF IP - A549 cells , CTCF IP - NHLF cells , CTCF IP - SAEC cells, Rep 1 , CTCF IP | DEX - A549 cells , CTCF IP - HPF cells, Rep 1 , CTCF IP - HPF cells, Rep 2 , CTCF IP - AG04450 cells, Rep 1 , CTCF IP - AG04450 cells, Rep 2 , CTCF ChIP-Seq - A549, CTCF IP - IMR cells, CTCF IP - A549 cells, Rep 2 , CTCF IP - NHLF cells "
TP63,ACACA,skin,,,,"TP63 IP, TP63 IP, TP63 IP - Adriam, Rep 1, TP63 IP, TP63 IP | BANF1 KD"
CEBPB,ACACA,stemcells,,,,"CEBPB IP, CEBPB IP - H1 cells, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
CTCF,ACACA,sensory,,,,"CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 2 "
CTCF,ACACA,skin,,,,"CTCF IP - AG09309 cells, Rep 1 , CTCF IP - NHEK cells , CTCF IP - BJ cells, Rep 1 , CTCF IP - NHDF cells , CTCF IP - NHDF cells, Rep 1 , CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - NHEK cells, Rep 2 , CTCF IP - BJ cells, Rep 2 "
MAFK,ACACA,liver,,,,"MAFK IP - HepG2 cells, Rep 2, MAFK IP - HepG2 cells, Rep 1"
REST,ACACA,stemcells,,,,"REST IP - H1 cells, Rep 1, REST IP - H1 cells, Rep 2"
JUND,ACACA,leukocytes,,,,JUND IP - K562 cells
YY1,ACACA,leukocytes,,,,"YY1 IP - GM12892 cells, Rep 1, YY1 IP - K562 cells, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12878 cells, YY1 IP - K562 cells, Rep 1, YY1 IP - GM12891 cells"
MYC,ACACA,mammarygland,,,,"MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq, MYC IP, MYC IP | 4HT - MCF10A cells"
NFYB,ACACA,leukocytes,,,,"NFYB IP - GM12878 cells, NFYB IP - K562 cells"
MAX,ACACA,liver,,,,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
GABPA,ACACA,leukocytes,,,,"GABPA IP - HL cells, GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, GABPA IP - GM12878 cells, Rep 4 , GABPA IP - Jurkat, Rep 1, GABPA IP - K562 cells, GABPA IP - GM12878 cells, Rep 1 "
EGR1,ACACA,leukocytes,,,,"EGR1 IP - GM12878 cells, Rep 1, EGR1 IP - K562 cells"
CTCF,ACACA,cns,,,,"CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - BE(2)-C cells, Rep 2 , CTCF IP - SK-N-SH cells , CTCF IP - HCPEpiC cells, Rep 2 , CTCF IP - NHA cells , CTCF IP - SK-N-SH cells, Rep 1 , CTCF IP - SK cells, CTCF IP - spinal cord astrocyte cells, Rep 1 , CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - BE(2)-C cells, Rep 1 "
CEBPB,ACACA,leukocytes,,,,"CEBPB IP - Rep 204, CEBPB IP - Rep 202, CEBPB ChIP-Seq - K562, CEBPB IP - Rep 203, CEBPB IP, CEBPB IP - HL-60 cells, Rep 2 , CEBPB IP | oxLDL  - Rep 208, CEBPB IP - Rep 201, CEBPB IP, CEBPB IP | oxLDL  - Rep 205, CEBPB IP - HL-60 cells, Rep 1 , CEBPB IP | oxLDL  - Rep 206, CEBPB IP - K562 cells"
SP1,ACACA,stemcells,,,,"SP1 IP - H1 cells, SP1 IP - Rep 1 , SP1 IP - Rep 2 "
TP53,ACACA,lung,,,,"TP53 IP - propapoptic, Rep 1"
REST,ACACA,cns,,,,"REST IP - U87 cells, REST IP - SK cells, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - PFSK1 cells, Rep 2"
17BE2,ACACA,mammarygland,,,,"17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq"
RELA,ACACA,leukocytes,,,,"RELA IP | TNF - GM12891 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM15510 cells"
TNF,ACACA,leukocytes,,,,"RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM15510 cells"
MYC,ACACA,uterus,,,,MYC IP - HeLa cells
USF1,ACACA,lung,,,,"USF1 IP - A549 cells, Rep 2, USF1 IP - A549 cells, Rep 1, USF1 IP | DEX - A549 cells"
CTCF,ACACA,erythroidlineage,,,,"CTCF IP - Erythroid cells, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 11 , CTCF IP - HEL 92.1.7 cells, Rep 14 , CTCF IP - HEL 92.1.7 cells, Rep 5 , CTCF IP - Erythroid cells, Rep 2, CTCF IP - HEL 92.1.7 cells, Rep 8 , CTCF IP - HEL 92.1.7 cells, Rep 2 "
YY1,ACACA,liver,,,,YY1 IP - HepG2 cells
CTCF,ACACA,liver,,,,"CTCF IP, CTCF IP - HepG2 cells , CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells, Rep 1 , CTCF IP - HepG2 cells, Rep 2 "
JUND,ACACA,uterus,,,,JUND IP - HeLa cells
EGR1,ACACA,colon,,,,EGR1 IP - HCT116 cells
ERG,ACACA,prostate,,,,"ERG ChIP-Seq, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h, DMSO | ERG ChIP-Seq - Rep 1"
ELF3,ACACA,pancreas,,,,"ELF3 IP | KLF5 KO, ELF3 IP, ELF3 IP"
KLF5,ACACA,pancreas,,,,"ELF3 IP | KLF5 KO, KLF5 IP"
STAT3,ACACA,leukocytes,,,,"STAT3 IP - OCI-LY10, STAT3 IP - U-2932, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY3"
MAZ,ACACA,leukocytes,,,,"MAZ IP - GM12878 cells, MAZ IP - K562 cells"
FOXA1,ACACA,prostate,,,,"FOXA1 KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, EtOH | FOXA1 ChIP-Seq - , GATA2 KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - LNCaP-abl, FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, FOXA1 KD | GATA2 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq"
CEBPB,ACACA,colon,,,,"CEBPB IP - HCT116 cells, CEBPB IP | 125DVD3, CEBPB IP"
REST,ACACA,lung,,,,REST IP - A549 cells
USF1,ACACA,cns,,,,"USF1 IP - SK-N-SH cells, USF1 IP | ATRA - SK-N-SH cells"
GTF2B,ACACA,uterus,,,,"GTF2B IP - DTT, Rep 1, GTF2B IP - Rep 2, GTF2B IP - Rep 3, GTF2B IP | RO306"
TCF12,ACACA,lung,,,,TCF12 IP - A549 cells
YY1,ACACA,cns,,,,"YY1 IP | ATRA - SK-N-SH cells, YY1 IP - SK-N-SH cells"
ATRA,ACACA,cns,,,,"YY1 IP | ATRA - SK-N-SH cells, USF1 IP | ATRA - SK-N-SH cells"
STAT3,ACACA,mammarygland,,,,"STAT3 IP - MCF10A cells, Rep 1, STAT3 IP - MCF10A cells, Rep 2, STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h"
JUND,ACACA,vasculature,,,,JUND IP
AR,ACACA,prostate,,,,"WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq"
CTCF,ACACA,stemcells,,,,"CTCF IP - Rep 1 , CTCF IP - Rep 5 , CTCF IP - H1 cells, CTCF IP - H1 cells , CTCF IP - Rep 6 "
MYB,ACACA,leukocytes,,,,"MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 3, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5"
E2F6,ACACA,leukocytes,,,,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
SRF,ACACA,colon,,,,SRF IP - HCT116 cells
JUND,ACACA,lung,,,,JUND IP - A549 cells
ZBTB7A,ACACA,uterus,,,,ZBTB7A IP - ECC1 cells
TP53,ACACA,bone,,,,"TP53 IP | NUTL3 - SJSA-1, TP53 IP | TP53EE/RR OE, TP53 IP - Rep 1, TP53 IP - Rep 2, TP53 IP | TP53 OE"
MAFK,ACACA,lung,,,,MAFK IP - IMR cells
CTCF,ACACA,megakaryocytelineage,,,,"CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - MEG-01 cells, Rep 10 "
FOS,ACACA,mammarygland,,,,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h"
4HT,ACACA,mammarygland,,,,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, E2F4 IP | 4HT - MCF10 cells, MYC IP | 4HT - MCF10A cells, STAT3 IP | 4HT - MCF10 cells, 36 h"
SP1,ACACA,lung,,,,SP1 IP - A549 cells
CTCF,ACACA,heart,,,,"CTCF IP - myocytes cells, Rep 1 , CTCF IP - HCF cells "
TBP,ACACA,leukocytes,,,,"TBP IP - GM12878 cells, TBP IP - K562 cells"
PBX3,ACACA,cns,,,,PBX3 IP - SK-N-SH cells
TP53,ACACA,mammarygland,,,,"TP53 IP | NUTL3 - MCF-7, TP53 IP"
GATA2,ACACA,prostate,,,,"GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 KD | GATA2 ChIP-Seq"
MXI1,ACACA,liver,,,,MXI1 IP - HepG2 cells
SIX5,ACACA,lung,,,,SIX5 IP | DEX - A549 cells
FOXP2,ACACA,cns,,,,FOXP2 IP - PFSK-1 cells
FOXA1,ACACA,stemcells,,,,FOXA1 IP - Rep 5 
ELF1,ACACA,liver,,,,ELF1 IP - HepG2 cells
CTCF,ACACA,mammarygland,,,,"CTCF IP - HMEC cells, Rep 2 , CTCF IP - HMEC cells , CTCF IP - HMEC cells, Rep 1 "
JUN,ACACA,uterus,,,,JUN IP - HeLa cells
GATA2,ACACA,leukocytes,,,,GATA2 IP - K562 cells
MYC,ACACA,bone,,,,MYC IP
TAL1,ACACA,leukocytes,,,,"TAL1 IP - MOLT3, TAL1 IP - K562 cells"
FOSL1,ACACA,colon,,,,FOSL1 IP - HCT116 cells
JUND,ACACA,colon,,,,JUND IP - HCT116 cells
MYC,ACACA,liver,,,,MYC IP
SP1,ACACA,liver,,,,SP1 IP - HepG2 cells
FOSL2,ACACA,cns,,,,FOSL2 IP - SK-N-SH cells
STAT3,ACACA,uterus,,,,STAT3 IP - HeLa cells
DEX,ACACA,lung,,,,"CTCF IP | DEX - A549 cells , CREB1 IP | DEX - A549 cells, USF1 IP | DEX - A549 cells, FOXA1 IP | DEX - A549 cells"
MAX,ACACA,stemcells,,,,"MAX IP - H1 cells, MAX IP - H1 cells"
SMAD1,ACACA,stemcells,,,,SMAD1 IP - Rep 7 
MYC,ACACA,leukocytes,,,,"MYC IP - NB4 cells, MYC IP | IFNA1 - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNA1 - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, MYC IP - K562 cells, Rep 1, MYC IP - K562 cells, Rep 2"
MAX,ACACA,uterus,,,,"MAX IP - HeLa cells, Rep 2, MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells"
BATF,ACACA,leukocytes,,,,BATF IP - GM12878 cells
TEAD4,ACACA,uterus,,,,TEAD4 IP - ECC1 cells
TEAD4,ACACA,mammarygland,,,,"TEAD4 IP - Rep 1, TEAD4 IP - Rep 2"
CREB1,ACACA,prostate,,,,"CREB1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - LNCaP-abl, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2"
E2F3,ACACA,colon,,,,E2F3 IP 
USF1,ACACA,uterus,,,,USF1 IP - ECC1 cells
DHT,ACACA,prostate,,,,"DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | FOXP1 ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h"
ELF1,ACACA,colon,,,,ELF1 IP - HCT116 cells
IFNA1,ACACA,leukocytes,,,,"MYC IP | IFNA1 - K562 cells, 30 min, IRF1 IP | IFNA1-13 - K562 cells, 6 h, MYC IP | IFNA1 - K562 cells, 6 h"
TP63,ACACA,esophagus,,,,TP63 IP - KYSE-70
MAX,ACACA,colon,,,,MAX IP - HCT116 cells
CREB1,ACACA,leukocytes,,,,"CREB1 IP - GM12878 cells, CREB1 IP - K562 cells"
CTCF,ACACA,placenta,,,,"CTCF IP - HVMF cells, Rep 1 , CTCF IP - HVMF cells, Rep 2 "
MAZ,ACACA,uterus,,,,MAZ IP - HeLa cells
USF1,ACACA,colon,,,,USF1 IP - HCT116 cells
MAX,ACACA,leukocytes,,,,"MAX IP - K562 cells, MAX IP - K562 cells, Rep 2, MAX IP - K562 cells, Rep 1, MAX IP - GM12878 cells, MAX IP - NB4 cells"
EBF1,ACACA,leukocytes,,,,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells"
DEX,ACACA,mammarygland,,,,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1"
MEF2B,ACACA,kidney,,,,MEF2B IP | MEF2B OE - Rep 2
GABPA,ACACA,lung,,,,GABPA IP - A549 cells
FOXM1,ACACA,mammarygland,,,,FOXM1 IP | THSP - DS006
ZBTB7A,ACACA,leukocytes,,,,ZBTB7A IP - SK-N-SH cells
ELF1,ACACA,leukocytes,,,,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
E2F4,ACACA,leukocytes,,,,"E2F4 IP - K562 cells, E2F4 IP - GM12878 cells"
TBP,ACACA,liver,,,,TBP IP - HepG2 cells
RELA,ACACA,adiposetissue,,,,"RELA IP, RELA IP, RELA IP, RELA IP"
MXI1,ACACA,uterus,,,,MXI1 IP - HeLa cells
BCL3,ACACA,leukocytes,,,,BCL3 IP - GM12878 cells
ATF3,ACACA,colon,,,,ATF3 IP - HCT116 cells
CTCF,ACACA,uterus,,,,CTCF IP - HeLa cells 
CEBPA,ACACA,leukocytes,,,,CEBPA IP
TCF12,ACACA,leukocytes,,,,TCF12 IP - GM12878 cells
KLF11,ACACA,adiposetissue,,,,"KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1"
MAX,ACACA,lung,,,,"MAX IP - A549 cells, MAX IP - A549 cells"
CREB1,ACACA,stemcells,,,,CREB1 IP - H1 cells
GATA4,ACACA,stomach,,,,GATA4 IP - AGS
ZKSCAN1,ACACA,uterus,,,,ZKSCAN1 IP - HeLa cells
POU2F2,ACACA,leukocytes,,,,POU2F2 IP - GM12878 cells
TBP,ACACA,stemcells,,,,TBP IP - H1 cells
MAZ,ACACA,liver,,,,MAZ IP - HepG2 cells
SATB1,ACACA,liver,,,,SATB1 IP
FOXP1,ACACA,prostate,,,,DHT | FOXP1 ChIP-Seq
YY1,ACACA,lung,,,,YY1 IP - A549 cells
SP1,ACACA,leukocytes,,,,SP1 IP - GM12878 cells
E2F1,ACACA,uterus,,,,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1"
TP73,ACACA,bone,,,,"TP73 IP - alpha isoform, Rep 1, TP73 IP - alpha isoform, Rep 2, TP73 IP - beta isoform, Rep 1, TP73 IP - beta isoform, Rep 2"
FOXA2,ACACA,embryonictissue,,,,"FOXA2 IP - Rep 2, FOXA2 IP - Rep 1"
MXI1,ACACA,leukocytes,,,,"MXI1 IP - GM12878 cells, MXI1 IP - K562 cells"
MAFF,ACACA,leukocytes,,,,MAFF IP - K562 cells
JUN,ACACA,colon,,,,JUN IP 
ATF2,ACACA,colon,,,,ATF2 IP 
IRF1,ACACA,leukocytes,,,,"IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h"
JUND,ACACA,liver,,,,JUND IP - HepG2 cells
CTCF,ACACA,adiposetissue,,,,"CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0, CTCF ChIP-Seq - d 3"
BHLHE40,ACACA,leukocytes,,,,"BHLHE40 IP - GM12878 cells, BHLHE40 IP - K562 cells"
CEBPB,ACACA,lung,,,,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells"
STAT1,ACACA,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
IFNG,ACACA,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
STAT1,ACACA,leukocytes,,,,"STAT1 IP - Rep 5, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 2, STAT1 IP - Rep 3"
IFNG,ACACA,leukocytes,,,,"STAT1 IP - Rep 5, MYC IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 2, STAT1 IP - Rep 3, MYC IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h"
RELA,ACACA,colon,,,,RELA IP 
125DVD3,ACACA,colon,,,,CEBPB IP | 125DVD3
USF1,ACACA,leukocytes,,,,"USF1 IP - K562 cells, USF1 IP - GM12878 cells"
CREB1,ACACA,liver,,,,"CREB1 IP, CREB1 IP - HepG2 cells, CREB1 IP"
TP63,ACACA,lung,,,,TP63 IP - HCC95
MYC,ACACA,stemcells,,,,MYC IP - Rep 2 
GTF2F1,ACACA,uterus,,,,GTF2F1 IP - HeLa cells
CTCF,ACACA,vasculature,,,,"CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HUVEC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 2 , CTCF IP - HPAF cells, Rep 2 "
HEY1,ACACA,liver,,,,HEY1 IP - HepG2 cells
GATA3,ACACA,lung,,,,GATA3 IP - A549 cells
FOSL2,ACACA,lung,,,,FOSL2 IP - A549 cells
FOSL2,ACACA,liver,,,,FOSL2 IP - HepG2 cells
FOS,ACACA,vasculature,,,,FOS IP - HUVEC cells
FOXA2,ACACA,liver,,,,FOXA2 IP - HepG2 cells
JUN,ACACA,mammarygland,,,,"JUN IP - Rep 1, JUN IP - Rep 2"
NFYA,ACACA,uterus,,,,NFYA IP - HeLa cells
ETS1,ACACA,leukocytes,,,,"ETS1 IP - K562 cells, ETS1 IP - GM12878 cells, ETS1 IP"
CTCF,ACACA,miscellaneous,,,,"CTCF IP - AG09319 cells, Rep 1 , CTCF IP - AG09319 cells, Rep 2 "
RO306,ACACA,uterus,,,,GTF2B IP | RO306
HMGN3,ACACA,leukocytes,,,,HMGN3 IP - K562 cells
CTCF,ACACA,colon,,,,"CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 1 "
ZNF384,ACACA,leukocytes,,,,"ZNF384 IP - K562 cells, ZNF384 IP - GM12878 cells"
PIAS1,ACACA,prostate,,,,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
FOSL2,ACACA,mammarygland,,,,FOSL2 IP - MCF7 cells
MTA3,ACACA,leukocytes,,,,MTA3 IP - GM12878 cells
CTCF,ACACA,mammarygland,,,,"CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMF cells, Rep 2 , CTCF IP - HMF cells, Rep 1 , CTCF IP - MCF-7 cells Rep 2 "
ATF3,ACACA,lung,,,,ATF3 IP - A549 cells
MYC,ACACA,lung,,,,MYC IP - A549 cells
TAL1,ACACA,colon,,,,TAL1 IP 
ATF1,ACACA,leukocytes,,,,ATF1 IP - K562 cells
REST,ACACA,leukocytes,,,,"REST IP - HL60 cells, REST IP - K562 cells"
TBP,ACACA,uterus,,,,TBP IP - HeLa cells
HIF1A,ACACA,bone,,,,HIF1A IP
JUN,ACACA,vasculature,,,,JUN IP - HUVEC cells
GATA1,ACACA,erythroidlineage,,,,"GATA1 IP - PBDE cells, Rep 1"
FOXA2,ACACA,lung,,,,FOXA2 IP - A549 cells
HOXA4,ACACA,colon,,,,HOXA4 IP 
CEBPB,ACACA,uterus,,,,"CEBPB IP - ECC1 cells, CEBPB ChIP-Seq - HeLaS3"
TFAP4,ACACA,leukocytes,,,,"TFAP4 IP - Rep 2, TFAP4 IP - Rep 1"
CREB1,ACACA,lung,,,,CREB1 IP | DEX - A549 cells
FOXA1,ACACA,liver,,,,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
TP53,ACACA,leukocytes,,,,TP53 IP - Doxo DNA damage
CTCF,ACACA,kidney,,,,"CTCF IP - HEK293 cells, Rep 1 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 "
ZNF263,ACACA,kidney,,,,ZNF263 IP - HEK293 cells
NFKB1,ACACA,leukocytes,,,,NFKB1 IP - Rep 2
SP1,ACACA,colon,,,,SP1 IP - HCT116 cells
PAX5,ACACA,leukocytes,,,,"PAX5 IP - GM12878 cells, Rep 1, PAX5 IP - GM12892 cells"
KLF5,ACACA,stomach,,,,KLF5 IP - KATOIII
FOXA1,ACACA,lung,,,,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells"
E2F1,ACACA,mammarygland,,,,"E2F1 IP - MCF7 cells, E2F1 IP"
E2F6,ACACA,stemcells,,,,E2F6 IP - H1 cells
ZBTB7A,ACACA,liver,,,,ZBTB7A IP - HepG2 cells
CTCF,ACACA,pancreas,,,,CTCF IP
MXI1,ACACA,cns,,,,MXI1 IP - SK-N-SH cells 
USF2,ACACA,leukocytes,,,,USF2 IP - GM12878 cells
YY1,ACACA,stemcells,,,,"YY1 IP - H1 cells, YY1 IP - NT2 cells"
ROSI,ACACA,adiposetissue,,,,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
TCF12,ACACA,cns,,,,TCF12 IP - SK-N-SH cells
TCF12,ACACA,uterus,,,,TCF12 IP - ECC1 cells
OTX2,ACACA,stemcells,,,,"OTX2 IP - Rep 3 , OTX2 IP - Rep 10 "
E2F4,ACACA,mammarygland,,,,E2F4 IP | 4HT - MCF10 cells
MAFF,ACACA,liver,,,,MAFF IP - HepG2 cells
MAX,ACACA,cns,,,,MAX IP - SK-N-SH cells
BACH1,ACACA,stemcells,,,,BACH1 IP - H1 cells
USF2,ACACA,uterus,,,,USF2 IP - HeLa cells
HEY1,ACACA,leukocytes,,,,HEY1 IP - K562 cells
USF2,ACACA,liver,,,,USF2 IP - HepG2 cells
JUND,ACACA,cns,,,,JUND IP - SK-N-SH cells
CEBPB,ACACA,liver,,,,"CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells"
CTCF,ACACA,bone,,,,CTCF IP - Osteoblasts 
YY1,ACACA,uterus,,,,YY1 IP - ECC1 cells
E2F6,ACACA,uterus,,,,E2F6 IP - HeLa cells
ZNF143,ACACA,leukocytes,,,,ZNF143 IP - GM12878 cells
FOS,ACACA,leukocytes,,,,FOS IP - K562 cells
UBTF,ACACA,leukocytes,,,,UBTF IP - K562 cells
BCL3,ACACA,lung,,,,BCL3 IP - A549 cells
RUNX1,ACACA,hspcs,,,,RUNX1
SMAD4,ACACA,stemcells,,,,SMAD4 IP - Rep 1 
CTCF,ACACA,skeletalmuscle,,,,"CTCF IP - HSMM cells, Rep 1 , CTCF IP - HSMM cells, Rep 2 "
MXI1,ACACA,lung,,,,MXI1 IP - IMR cells
BAY082,ACACA,leukocytes,,,,"RELA IP | BAY082  - IVD Th1 cells, PIA"
E2F6,ACACA,lung,,,,E2F6 IP - A549 cells
MXI1,ACACA,stemcells,,,,MXI1 IP - H1 cells
GATA6,ACACA,stomach,,,,GATA6 IP - YCC3
CEBPB,ACACA,mammarygland,,,,CEBPB IP - MCF7 cells
MAFK,ACACA,leukocytes,,,,"MAFK IP - K562 cells, MAFK IP - K562 cells"
MAZ,ACACA,lung,,,,MAZ IP - IMR cells
FORSK,ACACA,liver,,,,CEBPB IP | FORSK - HepG2 cells
MAFK,ACACA,uterus,,,,MAFK IP - HeLa cells
SRF,ACACA,stemcells,,,,"SRF IP - Rep 6 , SRF IP - Rep 5 , SRF IP - Rep 4 "
E2F4,ACACA,uterus,,,,E2F4 IP - HeLa cells
BHLHE40,ACACA,liver,,,,BHLHE40 IP - HepG2 cells
YY1,ACACA,colon,,,,YY1 IP - HCT116 cells
FOXA2,ACACA,stemcells,,,,"FOXA2 IP - Rep 5 , FOXA2 IP - ES D5"
